"","when","tau","p_Fisher","p_Neyman","V","CI_lower","CI_upper","Gamma"
"1","before matching",0.442283655975357,0,"8.95753350798462e-40","0.00113189744915807","0.441563143876957","0.443004168073756",NA
"2","after matching",0.243502051983584,0,"","","","",2.9
