"","when","tau","p_Fisher","p_Neyman","V","CI_lower","CI_upper","Gamma"
"1","before matching",0.0654507643884892,0,"1.74630412599022e-05","0.000250091540971284","0.0651359341297819","0.0657655946471966",NA
"2","after matching",0.005859375,0.252852273386733,"","","","",NA
