"","when","tau","p_Fisher","p_Neyman","V","CI_lower","CI_upper","Gamma"
"1","before matching",0.30112907395208,0,"1.5430674238283e-33","0.000628492087199451","0.300626026410934","0.301632121493227",""
"2","after matching",0.153019023986766,0,"","","","","2.07"
